_id,title,price,rating,replyCount,origin
ObjectId("5b8101c134957165033a0fab"),[하기스] 하기스 에어솔솔 썸머팬티 4~5단계 2팩/기저귀,30900,5,99,대한민국
ObjectId("5b8101c134957165033a0fac"),[보솜이] (쿠폰가 35900원) 액션핏 팬티 기저귀 x 4팩 + 보냉백,39900,4.5,128,대한민국
ObjectId("5b8101c134957165033a0fad"),(쿠폰가 25900원) 리얼코튼 썸머 팬티/밴드 x 3팩,29900,5,174,대한민국
ObjectId("5b8101c134957165033a0fae"),(쿠폰가 24900원) 리얼코튼 밴드/팬티 기저귀 x 3팩,28900,4.5,6121,대한민국
ObjectId("5b8101c134957165033a0faf"),하기스 보송보송 팬티형/밴드형 2~6단계X4팩/기저귀,37900,4.5,6631,대한민국
ObjectId("5b8101c134957165033a0fb0"),LG 토디앙 코튼캔디 밴드 기저귀 1팩,13900,5,2,대한민국
ObjectId("5b8101c134957165033a0fb1"),[유한킴벌리] 하기스 2018년 네이처메이드 밴드형 기저귀 1~2단계X3팩 / 3~5단계X2팩 택1,39900,5,19,대한민국
ObjectId("5b8101c134957165033a0fb2"),[군기저귀] 18년형 군기저귀 밴드/팬티 3팩 공식대리점,42900,4.5,6720,일본
ObjectId("5b8101c134957165033a0fb3"),밴드형팬티형기저귀/ 3팩4팩6팩/ 반짝특가3팩 16800원,20900,4.5,11297,대한민국
ObjectId("5b8101c134957165033a0fb4"),(공식) 18년 군기저귀 오리지널 3팩 / 밴드 팬티,42900,5,56,일본
ObjectId("5b8101c134957165033a0fb5"),하기스 매직핏/팬티/밴드/기저귀/에어솔솔썸머/+증정,56900,4.5,520,대한민국
ObjectId("5b8101c134957165033a0fb6"),[유한킴벌리] 하기스 2018년 보송보송 밴드형 기저귀 2/3/4/5단계 X 3팩 / 공용 택1+견본10P 증정(5단계 제외),32500,4.5,1,대한민국
ObjectId("5b8101c134957165033a0fb7"),네추럴블라썸/ 울트라슬림 팬티/밴드형 여름기저귀,36900,4.5,4838,중국
ObjectId("5b8101c134957165033a0fb8"),소프트앤슬림기저귀(밴드)2/3단계4팩+견본10매증정,39900,5,52,대한민국
ObjectId("5b8101c134957165033a0fb9"),[하기스] 하기스 네이처메이드 (3팩)1~6단계/밴드/팬티/택1,45500,5,139,대한민국
ObjectId("5b8101c134957165033a0fba"),[하기스] (현대Hmall)하기스 2018년 네이처메이드 밴드형 기저귀 1∼2단계X3팩 / 3∼5단계X2팩 택1,43320,4.5,337,대한민국
ObjectId("5b8101c134957165033a0fbb"),360핏 마미포코 팬티기저귀 대형/특대형/점보,34900,4.5,868,대한민국
ObjectId("5b8101c134957165033a0fbc"),(쿠폰가 38900원) 디오가닉 밴드/팬티 x 4팩 + 사은품,42900,4.5,85,대한민국
ObjectId("5b8101c134957165033a0fbd"),18년 공식대리점 군기저귀밴드3팩팬티3팩,42900,4.5,132,일본
ObjectId("5b8101c134957165033a0fbe"),[나비잠] 나비잠 기저귀 6팩 구성/밴드형/팬티형,46380,5,97,중국
