,name,number,address,lat,lng,total
0,병/의원명, 전화번호, 주소  ,0.0,0.0,"{'name': '병/의원명', 'number': ' 전화번호', 'address': ' 주소  ', 'lat': 0.0, 'lng': 0.0, '_id': ObjectId('5b820fd3d238d62a448e0e50')}"
1,강원도 삼척의료원, 033-572-1141, 강원도 삼척시 오십천로 418 남양동 ,129.1638017,37.4403018,"{'name': '강원도 삼척의료원', 'number': ' 033-572-1141', 'address': ' 강원도 삼척시 오십천로 418 남양동 ', 'lat': 129.1638017, 'lng': 37.4403018, '_id': ObjectId('5b820fd3d238d62a448e0e51')}"
2,근로복지공단 태백병원, 033-580-3114, 강원도 태백시 보드미길 8 장성동 ,129.0043366,37.1040964,"{'name': '근로복지공단 태백병원', 'number': ' 033-580-3114', 'address': ' 강원도 태백시 보드미길 8 장성동 ', 'lat': 129.0043366, 'lng': 37.1040964, '_id': ObjectId('5b820fd3d238d62a448e0e52')}"
3,아이앤맘소아청소년과의원, 033-645-7512, 강원도 강릉시 옥가로 21 옥천동3 7층,128.8990071,37.7583465,"{'name': '아이앤맘소아청소년과의원', 'number': ' 033-645-7512', 'address': ' 강원도 강릉시 옥가로 21 옥천동3 7층', 'lat': 128.8990071, 'lng': 37.7583465, '_id': ObjectId('5b820fd3d238d62a448e0e53')}"
4,연규홍소아청소년과의원, 033-746-9005, 강원도 원주시 남원로534번길 26 단구동 중앙빌딩3층,127.9490404,37.3301572,"{'name': '연규홍소아청소년과의원', 'number': ' 033-746-9005', 'address': ' 강원도 원주시 남원로534번길 26 단구동 중앙빌딩3층', 'lat': 127.9490404, 'lng': 37.3301572, '_id': ObjectId('5b820fd3d238d62a448e0e54')}"
5,우리연합의원, 033-463-5251, 강원도 인제군 기린면 기린로 43-1    ,128.3179864,37.9561646,"{'name': '우리연합의원', 'number': ' 033-463-5251', 'address': ' 강원도 인제군 기린면 기린로 43-1    ', 'lat': 128.3179864, 'lng': 37.9561646, '_id': ObjectId('5b820fd3d238d62a448e0e55')}"
6,원주연세의원, 033-766-7881, 강원도 원주시 흥업면 남원로 57  원주연세의원  ,127.9192109,37.3014171,"{'name': '원주연세의원', 'number': ' 033-766-7881', 'address': ' 강원도 원주시 흥업면 남원로 57  원주연세의원  ', 'lat': 127.9192109, 'lng': 37.3014171, '_id': ObjectId('5b820fd3d238d62a448e0e56')}"
7,한마음소아청소년과의원, 033-241-3667, 강원도 춘천시 후석로 326 후평동5층 ,127.7500925,37.8800489,"{'name': '한마음소아청소년과의원', 'number': ' 033-241-3667', 'address': ' 강원도 춘천시 후석로 326 후평동5층 ', 'lat': 127.7500925, 'lng': 37.8800489, '_id': ObjectId('5b820fd3d238d62a448e0e57')}"
8,한마음연합의원, 033-243-7550, 강원도 춘천시 보안길 65 후평동 503호,127.7503481,37.8801477,"{'name': '한마음연합의원', 'number': ' 033-243-7550', 'address': ' 강원도 춘천시 보안길 65 후평동 503호', 'lat': 127.7503481, 'lng': 37.8801477, '_id': ObjectId('5b820fd3d238d62a448e0e58')}"
9,인구보건복지협회경기도지회가족보건의원, 031-256-4644, 경기도 수원시 팔달구 고화로14번길 11 매산로3가 ,127.0082598,37.2711545,"{'name': '인구보건복지협회경기도지회가족보건의원', 'number': ' 031-256-4644', 'address': ' 경기도 수원시 팔달구 고화로14번길 11 매산로3가 ', 'lat': 127.0082598, 'lng': 37.2711545, '_id': ObjectId('5b820fd3d238d62a448e0e59')}"
