,name,number,address,lat,lng
2,365성모가정의학과의원, 033-251-3500, 강원도 춘천시 후석로 352 (후평동 국제빌딩)  2층 ,127.7486855,37.882097200000004
3,Dr.하석우의한사랑의원, 033-522-2244, 강원도 동해시 효자남길 16 (동회동 월드상가)  1층 ,129.10872690000002,37.4877014
11,강훈소아청소년과의원, 033-744-7579, 강원도 원주시 입춘로 110 (반곡동 파라다이스프라자 301,127.9816729,37.3234153
15,구곡의원, 033-734-6180, 강원도 원주시 늘품로 6 (단구동 청솔1차아파트)  ,127.9502869,37.3209357
18,글로리아산부인과의원, 033-532-0050, 강원도 동해시 천곡로 86-2 (천곡동 대륜빌딩)  3층 ,129.11502240000002,37.5228662
24,나노소아청소년과의원, 033-575-9410, 강원도 삼척시 진주로 29 (남양동동일빌딩302호) ,129.1637643,37.4432875
27,난소아청소년과의원, 033-646-2730, 강원도 강릉시 범일로 604 (내곡동 하나로마트)  2층 ,128.88082169999998,37.7412779
28,누가이비인후과의원, 033-535-3600, 강원도 동해시 한섬로 111-7 (천곡동 현진빌딩)  3층 ,129.1152178,37.52225429999999
33,도담내과의원, 033-744-4901, 강원도 원주시 모란1길 70 (우산동 수정프라자)  203층 ,127.93334890000001,37.361739299999996
34,도담도담소아청소년과의원, 033-648-7271, 강원도 강릉시 경강로 2109 (임당동 문선빌딩)  4층 ,128.8972134,37.7556773
43,베스트이내과의원, 033-763-1300, 강원도 원주시 서원대로 410 (단구동 한솔프라자)  401~403호 ,127.95032509999999,37.3297852
46,사랑나무소아청소년과의원, 033-252-8275, 강원도 춘천시 방송길 84 (온의동롯데마트3층)  ,127.71786940000001,37.868936100000006
49,석사성모의원, 033-263-4589, 강원도 춘천시 우석로101번길 86 (석사동 석사대우아파트상가)  205.206호 ,127.7572556,37.8693238
59,신소아청소년과의원, 033-522-3773, 강원도 동해시 효자로 691 (효가동 동성프라자)  308,129.1097088,37.4929224
63,아이앤맘산부인과의원, 033-648-8114, 강원도 강릉시 옥가로 21 (옥천동)  45층 ,128.8990071,37.7583465
64,아이앤맘소아청소년과의원, 033-645-7512, 강원도 강릉시 옥가로 21 (옥천동)  37층 ,128.8990071,37.7583465
65,애플소아청소년과의원, 033-575-5017, 강원도 삼척시 척주로 9-19 (남양동 삼일빌딩)  가동 3층 303호 ,129.1646509,37.4444355
67,엄마맘소아청소년과의원, 033-742-1119, 강원도 원주시 양지로 4 (반곡동 더조은메디컬빌딩 )  2층 202호 ,127.97883859999999,37.3254059
