,name,number,address,lat,lng,total
0,병/의원명, 전화번호, 주소  ,0.0,0.0,"{'name': '병/의원명', 'number': ' 전화번호', 'address': ' 주소  ', 'lat': 0.0, 'lng': 0.0}"
1,21세기소아청소년과의원, 033-745-0815, 강원도 원주시 봉화로 27 단계동 ,127.9283262,37.3469313,"{'name': '21세기소아청소년과의원', 'number': ' 033-745-0815', 'address': ' 강원도 원주시 봉화로 27 단계동 ', 'lat': 127.9283262, 'lng': 37.3469313}"
2,365성모가정의학과의원, 033-251-3500, 강원도 춘천시 후석로 352 후평동 국제빌딩2층,127.7486855,37.8820972,"{'name': '365성모가정의학과의원', 'number': ' 033-251-3500', 'address': ' 강원도 춘천시 후석로 352 후평동 국제빌딩2층', 'lat': 127.7486855, 'lng': 37.8820972}"
3,Dr.하석우의한사랑의원, 033-522-2244, 강원도 동해시 효자남길 16 동회동 월드상가1층,129.1087269,37.4877014,"{'name': 'Dr.하석우의한사랑의원', 'number': ' 033-522-2244', 'address': ' 강원도 동해시 효자남길 16 동회동 월드상가1층', 'lat': 129.1087269, 'lng': 37.4877014}"
4,강릉아산병원, 033-610-3799, 강원도 강릉시 사천면 방동길 38  ,128.8578411,37.8184325,"{'name': '강릉아산병원', 'number': ' 033-610-3799', 'address': ' 강원도 강릉시 사천면 방동길 38  ', 'lat': 128.8578411, 'lng': 37.8184325}"
5,강원대학교병원, 033-258-2000, 강원도 춘천시 백령로 156 효자동 ,127.744891,37.8751611,"{'name': '강원대학교병원', 'number': ' 033-258-2000', 'address': ' 강원도 춘천시 백령로 156 효자동 ', 'lat': 127.744891, 'lng': 37.8751611}"
6,강원도 삼척의료원, 033-572-1141, 강원도 삼척시 오십천로 418 남양동 ,129.1638017,37.4403018,"{'name': '강원도 삼척의료원', 'number': ' 033-572-1141', 'address': ' 강원도 삼척시 오십천로 418 남양동 ', 'lat': 129.1638017, 'lng': 37.4403018}"
7,강원도 영월의료원, 033-370-9128, 강원도 영월군 영월읍 중앙1로 59  ,128.4652388,37.1864525,"{'name': '강원도 영월의료원', 'number': ' 033-370-9128', 'address': ' 강원도 영월군 영월읍 중앙1로 59  ', 'lat': 128.4652388, 'lng': 37.1864525}"
8,강원도 원주의료원, 033-760-4546, 강원도 원주시 서원대로 387 개운동 ,127.949225,37.332608,"{'name': '강원도 원주의료원', 'number': ' 033-760-4546', 'address': ' 강원도 원주시 서원대로 387 개운동 ', 'lat': 127.949225, 'lng': 37.332608}"
9,강원도강릉의료원, 033-610-1271, 강원도 강릉시 경강로 2007-  2007 ,0.0,0.0,"{'name': '강원도강릉의료원', 'number': ' 033-610-1271', 'address': ' 강원도 강릉시 경강로 2007-  2007 ', 'lat': 0.0, 'lng': 0.0}"
