,name,number,address,lat,lng,total
0,병/의원명, 전화번호, 주소  ,0.0,0.0,"{'name': '병/의원명', 'number': ' 전화번호', 'address': ' 주소  ', 'lat': 0.0, 'lng': 0.0}"
1,21세기소아청소년과의원, 033-745-0815, 강원도 원주시 봉화로 27 단계동 ,127.9283262,37.3469313,"{'name': '21세기소아청소년과의원', 'number': ' 033-745-0815', 'address': ' 강원도 원주시 봉화로 27 단계동 ', 'lat': 127.9283262, 'lng': 37.3469313}"
2,365성모가정의학과의원, 033-251-3500, 강원도 춘천시 후석로 352 후평동 국제빌딩2층,127.7486855,37.8820972,"{'name': '365성모가정의학과의원', 'number': ' 033-251-3500', 'address': ' 강원도 춘천시 후석로 352 후평동 국제빌딩2층', 'lat': 127.7486855, 'lng': 37.8820972}"
3,Dr.하석우의한사랑의원, 033-522-2244, 강원도 동해시 효자남길 16 동회동 월드상가1층,129.1087269,37.4877014,"{'name': 'Dr.하석우의한사랑의원', 'number': ' 033-522-2244', 'address': ' 강원도 동해시 효자남길 16 동회동 월드상가1층', 'lat': 129.1087269, 'lng': 37.4877014}"
4,강릉아산병원, 033-610-3799, 강원도 강릉시 사천면 방동길 38  ,128.8578411,37.8184325,"{'name': '강릉아산병원', 'number': ' 033-610-3799', 'address': ' 강원도 강릉시 사천면 방동길 38  ', 'lat': 128.8578411, 'lng': 37.8184325}"
5,강원도 삼척의료원, 033-572-1141, 강원도 삼척시 오십천로 418 남양동 ,129.1638017,37.4403018,"{'name': '강원도 삼척의료원', 'number': ' 033-572-1141', 'address': ' 강원도 삼척시 오십천로 418 남양동 ', 'lat': 129.1638017, 'lng': 37.4403018}"
6,강원도속초의료원, 033-630-6000, 강원도 속초시 영랑호반길 3 영랑동 ,128.5892485,38.2164607,"{'name': '강원도속초의료원', 'number': ' 033-630-6000', 'address': ' 강원도 속초시 영랑호반길 3 영랑동 ', 'lat': 128.5892485, 'lng': 38.2164607}"
7,강훈소아청소년과의원, 033-744-7579, 강원도 원주시 입춘로 110 반곡동 파라다이스프라자301,127.9816729,37.3234153,"{'name': '강훈소아청소년과의원', 'number': ' 033-744-7579', 'address': ' 강원도 원주시 입춘로 110 반곡동 파라다이스프라자301', 'lat': 127.9816729, 'lng': 37.3234153}"
8,개성소아청소년과의원, 033-635-3229, 강원도 속초시 동해대로 4215 교동 ,128.5772842,38.1952331,"{'name': '개성소아청소년과의원', 'number': ' 033-635-3229', 'address': ' 강원도 속초시 동해대로 4215 교동 ', 'lat': 128.5772842, 'lng': 38.1952331}"
9,구곡의원, 033-734-6180, 강원도 원주시 늘품로 6 단구동 청솔1차아파트,127.9502869,37.3209357,"{'name': '구곡의원', 'number': ' 033-734-6180', 'address': ' 강원도 원주시 늘품로 6 단구동 청솔1차아파트', 'lat': 127.9502869, 'lng': 37.3209357}"
