,name,number,address,lat,lng
39,미성의료재단 아름다운병원, 033-430-9999, 강원도 홍천군 홍천읍 홍천로 342-10  ,127.8831925,37.6881194
42,밝은미래의원, 033-481-2575, 강원도 양구군 양구읍 사명길 32  밝은미래의원,127.9884012,38.1037079
45,부부소아청소년과의원, 033-746-5988, 강원도 원주시 문막읍 왕건로 48  ,127.8293112,37.3238795
50,성가의원, 033-372-4888, 강원도 영월군 영월읍 중앙로 33  번지,128.4674216,37.1837072
53,성요셉의원, 033-458-6115, 강원도 철원군 서면 와수1로 12  ,127.436973,38.2379355
54,성윤업내과의원, 033-374-0871, 강원도 영월군 영월읍 중앙1로 32  번지,128.465951,37.1839023
86,우리연합의원, 033-463-5251, 강원도 인제군 기린면 기린로 43-1  ,128.3179864,37.9561646
87,원주연세의원, 033-766-7881, 강원도 원주시 흥업면 남원로 57  원주연세의원,127.9192109,37.3014171
88,유소아청소년과의원, 033-345-5332, 강원도 횡성군 횡성읍 태기로 25  ,127.9862644,37.4911413
96,이앤신 소아청소년과의원, 033-263-2255, 강원도 춘천시 동내면 춘천순환로 58  메디피아건물 301-2호,127.7503301,37.8551213
103,인제고려병원, 033-461-0088, 강원도 인제군 인제읍 비봉로 19  상동리256-2번지,128.1735808,38.0677805
105,정선군립병원, 033-592-3121, 강원도 정선군 사북읍 지장천로 727  ,128.8261822,37.2257003
116,키즈메디소아청소년과의원, 033-433-9933, 강원도 홍천군 홍천읍 홍천로 326  키즈메디소아청소년과의원,127.8816456,37.6880778
120,튼튼의원, 033-482-8275, 강원도 양구군 양구읍 사명길 50-10  튼튼의원,127.9887121,38.1043564
132,한사랑내과의원, 033-481-3566, 강원도 양구군 양구읍 사명길 123  중리 31-1,127.9883258,38.1078248
140,호산외과의원, 033-432-9387, 강원도 홍천군 남면 양덕원2길 19  양덕원1리194-7,127.7686344,37.6168203
142,화천내과의원, 033-442-8001, 강원도 화천군 화천읍 중앙로 19-1  ,127.7064708,38.1042722
143,화천연세의원, 033-441-3800, 강원도 화천군 화천읍 중앙로2길 41-8  소고빌딩 2층 화천연세의원,127.7042095,38.1030337
146,홍인의료소비자생활협동조합&#41;우리현대의원, 031-338-8012, 경기도 용인시 처인구 양지면 양지로 137  ,127.2836688,37.2347281
171,가남현대의원, 031-884-8275, 경기도 여주시 가남읍 태평로 56  태평리 172,127.5439519,37.2048911
181,가평삼성의원, 031-585-3658, 경기도 가평군 가평읍 석봉로 198  ,127.5100942,37.8326551
235,곤지암내과의원, 031-769-8275, 경기도 광주시 곤지암읍 곤지암로 54  곤지암리 437-1,127.3408535,37.34986
249,광탄현대병원, 031-935-5678, 경기도 파주시 광탄면 큰여울길 20-16  ,126.8496889,37.7792667
