,title,summary,schedule,place,cost,image,link
0,['책 나와라 뚝딱'],['7월부터 12월까지 매월 선정된 작가와 함께 하는 도서연계창작프로그램'],"['2018-07-21 ~ 2018-12-08  (매월 1회, 토) 15:00  ']",['어린이창작실험실(영유아실)'],"['10,000원']",https://www.acc.go.kr/resources/upload/556/g916947xi4h6s1l.jpg,https://www.acc.go.kr/board/schedule/child/2119
1,['아장아장 나비의 여행'],"[""자연의 탄생과 성장을 통해 '겉모습은 서로 다르지만 우리는 하나'라는 문화다양성의 가치를 탐색하는 영아프로그램 ""]",['2018-09-07 ~ 2018-11-23  14:00  '],['어린이창작실험실(생활문화실)'],"['5,000원']",https://www.acc.go.kr/resources/upload/588/l1u9z2o4ry8n14y.jpg,https://www.acc.go.kr/board/schedule/child/2202
2,['[단체] 식물 드로잉 레시피'],['국립아시아문화전당에 서식하는 식물에 대해 알아보고 식물 드로잉 액자를 만드는 창작 프로그램'],"['2018-09-05 ~ 2018-11-30  (수,금) 10:30  ']",['어린이창작실험실(영유아실)'],"['3,000원(1인 기준)']",https://www.acc.go.kr/resources/upload/582/n1o21ks71f38jfd.jpg,https://www.acc.go.kr/board/schedule/child/2187
3,['[단체] 세상에 이런 악기'],['다양한 악기에 대해 탐색하고 나만의 악기를 만드는 창작 프로그램'],"['2018-09-04 ~ 2018-11-29  (화,목) 10:30  ']",['어린이창작실험실(영유아실)'],"['3,000원(1인 기준)']",https://www.acc.go.kr/resources/upload/582/lj2e1pckkml18sp.jpg,https://www.acc.go.kr/board/schedule/child/2188
4,['주머니 쏘옥 아시아'],['아시아의 다양한 문화를 놀이와 창작활동으로 이해하는 문화다양성 프로그램'],['2018-09-02 ~ 2018-10-28  (매주 일) 10:30  '],['어린이창작실험실(영유아실)'],"['5,000원(재료비 포함)']",https://www.acc.go.kr/resources/upload/581/aa5626k348fu81v.jpg,https://www.acc.go.kr/board/schedule/child/2185
5,['소리탐구생활'],['소리 자체에 집중하는 활동을 통해 감각을 깨우고 일상을 재발견해보는 실험적인 예술창작 프로그램'],['2018-09-01 ~ 2018-11-24  (매주 토) 14:00  '],['어린이창작실험실(표현활동실)'],"['60,000원(재료비 포함)']",https://www.acc.go.kr/resources/upload/585/z0133685r1s61wt.png,https://www.acc.go.kr/board/schedule/child/2195
6,['지혜쑥쑥 이야기놀이터'],['아시아 여러 나라의 이야기를 주제로 탐색과 창작 활동을 하면서 연극을 만들어가는 문화다양성 프로그램'],['2018-09-01 ~ 2018-11-24  (매주 토) 14:00  '],['어린이창작실험실(생활문화실)'],"['60,000원(재료비 포함)']",https://www.acc.go.kr/resources/upload/582/60u7i7778k010j5.jpg,https://www.acc.go.kr/board/schedule/child/2190
7,['출래출래 몸놀이'],['신체 활동을 통해 새로운 에너지를 발산하고 가족들과 함께 몸으로 소통해보는 주말 가족 프로그램'],['2018-08-12 ~ 2018-10-14  (둘째 주 일요일) 14:00  '],['어린이창작실험실(생활문화실)'],"['10,000원']",https://www.acc.go.kr/resources/upload/572/nis844h1l6v6s1u.jpg,https://www.acc.go.kr/board/schedule/child/2160
8,['여름방학 맞이 어린이문화원 특별 프로그램'],['여름방학을 맞이한 온 가족이 즐길 수 있는 어린이문화원의 특별 프로그램! '],['2018-08-02 ~ 2018-08-26 '],['어린이문화원 일대'],['무료(일부 유료)'],https://www.acc.go.kr/resources/upload/573/8wz4qlz3424etve.jpg,https://www.acc.go.kr/board/schedule/child/2165
9,['손안에 작은 꽃밭'],['2018 어린이책놀이터-너나들이 <자연을 닮은 그림책> 전시 연계 교육프로그램'],['2018-08-01 ~ 2018-08-26 '],['어린이도서관'],['무료'],https://www.acc.go.kr/resources/upload/574/eohxh0z2ols63gr.jpg,https://www.acc.go.kr/board/schedule/child/2168
10,"['놀러와, 이야기 숲으로 ']",['아시아 스토리텔러 김서연 선생님과 함께 하는 소규모 북 데이트'],['2018-07-01 ~ 2018-12-30  (매주 일) 15:00  '],['어린이도서관'],['무료'],https://www.acc.go.kr/resources/upload/555/962q6744y1m0zus.jpg,https://www.acc.go.kr/board/schedule/child/2117
11,['어린이체험관 (단체)'],"['아시아 여러 나라의 문화자원을 활용한 놀이와 생활체험, 예술적 창작 활동을 통해 새로운 문화에 대한 관심과 흥미를 유도합니다.']",['2018-01-01 ~ 2018-12-31 '],['어린이체험관'],"['단체(만 3세 이상 14세 미만) 3,000원<br>개인(만 14세 이상) 3,000원<br>※20명당 인솔자 2명 무료']",https://www.acc.go.kr/resources/upload/438/y0w8xgjaekz7678.jpg,https://www.acc.go.kr/board/schedule/child/1801
12,['어린이체험관 (개인)'],"['아시아 여러 나라의 문화자원을 활용한 놀이와 생활체험, 예술적 창작 활동을 통해 새로운 문화에 대한 관심과 흥미를 유도합니다.']",['2018-01-01 ~ 2018-12-31 '],['어린이체험관'],"['만 3세 이상 14세 미만 : 5,000원<br>만 14세 이상 : 3,000원']",https://www.acc.go.kr/resources/upload/462/r25p93i89or2l12.jpg,https://www.acc.go.kr/board/schedule/child/1800
13,['유아놀이터'],['시아와 친구들의 무지개나라 탐험'],['2018-01-01 ~ 2018-12-31 '],['유아놀이터'],['무료'],https://www.acc.go.kr/resources/upload/426/9ns66wm1124kg23.jpg,https://www.acc.go.kr/board/schedule/child/1763
14,['안녕! 중앙아시아'],['중앙아시아의 다양한 문화를 교구재 놀이로 이해하는 문화다양성 프로그램'],"['2018-09-08 ~ 2018-11-24  (매월 둘째, 넷째주 토) 15:00  ']",['어린이창작실험실(영유아실)'],"['3,000원']",https://www.acc.go.kr/resources/upload/588/j973x42i9w354dd.jpg,https://www.acc.go.kr/board/schedule/child/2204
15,['예술로 코딩'],"['코딩의 원리를 놀이와 게임, 다양한 예술 활동으로 자연스럽게 이해해볼 수 있는 예술창작 프로그램']",['2018-09-02 ~ 2018-09-30  (매주 일) 14:00  '],['어린이창작실험실(표현활동실)'],"['20,000원']",https://www.acc.go.kr/resources/upload/585/d4uge7oy57394vl.jpg,https://www.acc.go.kr/board/schedule/child/2204
