,title,price,rating,replyCount,origin,item0,item1,item2,item3
0,[하기스] 하기스 에어솔솔 썸머팬티 4~5단계 2팩/기저귀,0.30237253912165574,1.0,0.0011182271017586662,0.0,[유한킴벌리] 하기스 18년 보송보송 팬티형 기저귀 4/5/6단계X4팩/공용 택1+4단계 구매시만 견본10매증정,하기스 2018년 네이처메이드 팬티형 여아용 대형 4단계(10~14kg),(쿠폰가 25900원) 리얼코튼 썸머 팬티/밴드 x 3팩,[굿나이트] 하기스 굿나이트 어린이용안심팬티 2팩 남녀구분/폴맘
1,[보솜이] (쿠폰가 35900원) 액션핏 팬티 기저귀 x 4팩 + 보냉백,0.3932357395254922,0.9,0.0014457885760112048,0.0,하기스 매직팬티 3~6단계/밴드1~5단계 2/3/4팩,[VIP 5%할인] 보솜이 NEW 액션핏 팬티기저귀 4팩+키재기앨범 증정,보솜이 디오가닉 18년형 밴드형 기저귀 신생아(0~4.5kg),마미포코 굿밤팬티 코자요 팬티형 남아용 특대형 5단계 (13~18kg) 일회용 기저귀
2,(쿠폰가 25900원) 리얼코튼 썸머 팬티/밴드 x 3팩,0.2922766279656739,1.0,0.0019653688455152315,0.0,[굿나이트] 하기스 굿나이트 어린이용안심팬티 2팩 남녀구분/폴맘,2018년 보솜이리얼코튼기저귀 밴드형 남여공용 3팩,하기스 2018 네이처메이드 밴드형 1단계 신생아 남여공용 62매x2팩 기저귀,하기스 2018 네이처메이드밴드 2단계 여아용 52매x2팩 밴드형 기저귀
3,(쿠폰가 24900원) 리얼코튼 밴드/팬티 기저귀 x 3팩,0.28218071680969214,0.9,0.06913806151378582,0.0,[즉시할인] 베슈 시그니처 기저귀 특가 모음전,[하기스] 매직핏&에어솔솔썸머(팬티/밴드) 1~6단계 2/3/4팩,핑크퐁 밴드/팬티 1박스,베피스 모션 핏 팬티형 기저귀 남여공용 특대형 5단계 (13~18kg)
4,하기스 보송보송 팬티형/밴드형 2~6단계X4팩/기저귀,0.3730439172135286,0.9,0.07489862537133046,0.0,360핏 마미포코 팬티기저귀 대형/특대형/점보,[네추럴블라썸] 울트라슬림 여름 기저귀 팬티형/밴드형,하기스 2017년 보송보송 드라이 팬티형 기저귀 남아용 특대형 5단계 (13~18kg),킨도 독일 프리미엄 기저귀 밴드/팬티/슬림
5,LG 토디앙 코튼캔디 밴드 기저귀 1팩,0.13074204946996468,1.0,2.2590446500175075e-05,0.0,하기스 에어솔솔 썸머밴드 3단계 중형 공용 48매x1팩,하기스 매직핏 팬티형 기저귀6단계(17Kg~)점보 여아용28p 일회용 기저귀,하기스 2018 네이처메이드 밴드형 1단계 신생아 남여공용 62매x1팩 기저귀,[하기스] 맥스드라이 팬티 4단계 남자 20P 1팩/기저귀
6,[유한킴벌리] 하기스 2018년 네이처메이드 밴드형 기저귀 1~2단계X3팩 / 3~5단계X2팩 택1,0.3932357395254922,1.0,0.00021460924175166322,0.0,하기스 2018년 네이처메이드 팬티형 기저귀 남아용 대형 4단계(10~14kg),소프트앤슬림기저귀(밴드)2/3단계4팩+견본10매증정,하기스 2018년 네이처메이드 밴드형 기저귀 여아용 대형 4단계(10~14kg),하기스 2018년 네이처메이드 밴드형 기저귀 여아용 중형 3단계(7~11kg)
7,[군기저귀] 18년형 군기저귀 밴드/팬티 3팩 공식대리점,0.42352347299343773,0.9,0.07590390024058825,1.0,킨도 프리미엄 밴드형 기저귀 남여공용 대형 4단계(7~13kg),킨도 독일 프리미엄 기저귀 밴드형 남여공용 중형 3단계 (4~8kg),군 오리지널 팬티형 일회용 기저귀 남아용 XL 12~20kg,군 오리지널 팬티형 기저귀 남아용 L (9~14kg)
8,밴드형팬티형기저귀/ 3팩4팩6팩/ 반짝특가3팩 16800원,0.20141342756183747,0.9,0.1276021370562389,0.0,슈퍼대디 윌리엄의 오리지널 팬티/밴드기저귀 4팩,마미포코360핏 대형/특대형/점보 마미포코팬티기저귀,슈베스 기저귀 밴드 팬티 4팩 / 슬림썸머 여름기저귀,베이비앙 무형광 사각 순면 밤부 오가닉 천기저귀
9,(공식) 18년 군기저귀 오리지널 3팩 / 밴드 팬티,0.42352347299343773,1.0,0.0006325325020049022,1.0,몰텍스 네이처 밴드형 기저귀 아동공용 New Born 1단계 (2~4kg),[나비잠] 나비잠 기저귀 6팩 구성/밴드형/팬티형,[팸퍼스] 팸퍼스 베이비드라이 팬티 기저귀 3팩,[팸퍼스] 팸퍼스 프리미엄 크루저 기저귀 3~6단계 (올)
10,하기스 매직핏/팬티/밴드/기저귀/에어솔솔썸머/+증정,0.5648662291771833,0.9,0.005873516090045519,0.0,하기스 굿나이트 팬티형 기저귀 남아용 중형 (17~30kg),사은품+하기스매직팬티/매직핏/네이처/에어솔솔썸머,하기스 네이처메이드 퍼스트케어 밴드형 기저귀 남아용 중형 3단계 (7~11kg),하기스 2017년 네이처메이드 퍼스트케어 밴드형 일회용 기저귀 여아용 중형 3단계 7~11kg
11,[유한킴벌리] 하기스 2018년 보송보송 밴드형 기저귀 2/3/4/5단계 X 3팩 / 공용 택1+견본10P 증정(5단계 제외),0.31852599697122663,0.9,1.1295223250087538e-05,0.0,하기스 2018년 네이처메이드 팬티형 기저귀 남아용 특대형 5단계(13~18kg),하기스 2018년 맥스드라이 밴드형 기저귀 남여공용 대형 4단계(10~14kg),[물티슈40매x2팩]하기스 굿나이트 중형 2팩/대형 2팩,마미포코 보송허그 밴드형 기저귀 여아용 중형 3단계(6~11kg)
12,네추럴블라썸/ 울트라슬림 팬티/밴드형 여름기저귀,0.36294800605754673,0.9,0.05464629008392351,1.0,페넬로페 미라클 셔링 팬티형 기저귀 남여공용 L(8~12kg),킨도 독일 프리미엄 기저귀 밴드형 남여공용 중형 3단계 (4~8kg),군 오리지널 팬티형 일회용 기저귀 남아용 XL 12~20kg,군 오리지널 팬티형 기저귀 남아용 L (9~14kg)
13,소프트앤슬림기저귀(밴드)2/3단계4팩+견본10매증정,0.3932357395254922,1.0,0.0005873516090045519,0.0,[유한킴벌리] 하기스 2018년 네이처메이드 밴드형 기저귀 1~2단계X3팩 / 3~5단계X2팩 택1,하기스 2018년 네이처메이드 팬티형 기저귀 남아용 대형 4단계(10~14kg),하기스 2018년 네이처메이드 밴드형 기저귀 여아용 대형 4단계(10~14kg),하기스 에어솔솔 썸머팬티/밴드/3~5단계
14,[하기스] 하기스 네이처메이드 (3팩)1~6단계/밴드/팬티/택1,0.4497728419989905,1.0,0.0015700360317621677,0.0,[마미포코] 마미포코 에어핏 팬티기저귀 대/특대x4팩 (남/여아 택1) / 360핏,하기스 2017년 매직 꿀벅지 밴드형 기저귀 남여공용 소형 2단계 플러스(4~8kg),[하기스] 2018년 하기스 네이처메이드 팬티 5단계 40매 X 2팩,하기스 매직핏 기저귀 1단계 신생아/2단계 소형(3팩)
15,[하기스] (현대Hmall)하기스 2018년 네이처메이드 밴드형 기저귀 1∼2단계X3팩 / 3∼5단계X2팩 택1,0.4277637556789501,0.9,0.0038064902352795004,0.0,[마미포코] 신제품 마미포코 에어핏 팬티4팩+물티슈2팩,하기스 2018 매직핏 팬티형 기저귀 남아용 대형 4단계(10~14kg),(쿠폰가 38900원) 디오가닉 밴드/팬티 x 4팩 + 사은품,하기스 2018 매직핏 꿀벅지 밴드형 기저귀 남녀공용 소형 2단계 플러스(4~8kg)
16,360핏 마미포코 팬티기저귀 대형/특대형/점보,0.34275618374558303,0.9,0.009804253781075982,0.0,마미포코 360핏팬티형 기저귀3팩 대형126매/특대90매,[유한킴벌리]하기스 에어솔솔썸머 밴드형 기저귀 3~4단계X3팩 공용 택1,하기스 2018년 맥스드라이 팬티형 기저귀 남아용 대형 4단계(10~14kg),페넬로페 씬씬씬 썸머 기저귀
17,(쿠폰가 38900원) 디오가닉 밴드/팬티 x 4팩 + 사은품,0.42352347299343773,0.9,0.0009600939762574407,0.0,하기스 2018 매직핏 팬티형 기저귀 남아용 대형 4단계(10~14kg),[하기스] (현대Hmall)하기스 2018년 네이처메이드 밴드형 기저귀 1∼2단계X3팩 / 3∼5단계X2팩 택1,하기스 2017년 매직 밴드형 기저귀 남여공용 중형 3단계 플러스(7~11kg),[마미포코] 신제품 마미포코 에어핏 팬티4팩+물티슈2팩
