,title,price,rating,replyCount,brand,item0,item1,item2,item3
0,옥션맘특가쌀과자마을10+2 아이과자 요거트 과일칩,0.03790786948176583,1.0,0.08245783192877447,0.0,[내아이애] 내아이애 유기농 쌀과자/떡뻥 특가 할인 (10+2),남양유업 아이꼬야(구 아기꼬야) 사과  딸기  귤,신상론칭 10+2 유기농 아이간식 쌀과자 김 보리차,[내아이애] 동결건조 요거트 큐브 모음전 (10팩 구매시 1팩 증정)
1,HARIBO 하리보 골드베렌 젤리 980G/해피콜라젤리 980g,0.2538387715930902,1.0,0.00017530898208091762,0.016129032258064516,내아이애 유기농 순수 야채링 과자 단호박 3p + 자색고구마 3p,[매일유업] 아몬드브리즈 오리지날/190mlx12팩24팩/아몬드 두유,[하리보] 하리보 젤리 골드베렌 980g,[매일유업] 요미요미 쌀떡뻥 고구마와 연근 30gx6팩
2,[매일유업] 아몬드브리즈 오리지날/190mlx12팩24팩/아몬드 두유,0.2154510556621881,1.0,0.0010643759626341428,0.03225806451612903,HARIBO 하리보 골드베렌 젤리 980G/해피콜라젤리 980g,내아이애 유기농 순수 야채링 과자 단호박 3p + 자색고구마 3p,[하리보] 하리보 젤리 골드베렌 980g,내아이애 정성빚은 쌀튀밥
3,[매일유업] 매일 요미요미 유기농쌀과자 25gx8봉,0.4865642994241842,0.9,0.00015026484178364368,0.03225806451612903,내아이애 유기농 쌀과자 떡뻥 10종 세트(+1 한봉더),[매일유업] 매일 상하 맛있는 비타치즈 딸기/플레인/요구르트 6박스(48매),요미요미 유기농 쌀과자 25gx8팩 7개월/12개월,[남양] 아이꼬야 요거트볼 불가리스 사과/딸기/블루베리 8개
4,[내아이애] 내아이애 유기농 쌀과자/떡뻥 특가 할인 (10+2),0.02111324376199616,1.0,0.03077924842534968,0.04838709677419355,신상론칭 10+2 유기농 아이간식 쌀과자 김 보리차,[내아이애] 동결건조 요거트 큐브 모음전 (10팩 구매시 1팩 증정),[분유이야기] 남양유업 아이꼬야(구 아기꼬야) 사과 딸기 귤,남양유업 아이꼬야(구 아기꼬야) 사과  딸기  귤
5,신상론칭 10+2 유기농 아이간식 쌀과자 김 보리차,0.040307101727447225,1.0,0.018432487258793626,0.06451612903225806,[분유이야기] 남양유업 아이꼬야(구 아기꼬야) 사과 딸기 귤,[내아이애] 내아이애 유기농 쌀과자/떡뻥 특가 할인 (10+2),[내아이애] 동결건조 요거트 큐브 모음전 (10팩 구매시 1팩 증정),남양유업 아이꼬야 동결건조 사과/딸기/귤
6,남양 아이꼬야 치즈볼/동결건조/불가리스/쌀과자,0.03071017274472169,0.9,0.0009641994014450469,0.08064516129032258,[질마재농장] 유기농100% 무첨가 유기농쌀과자 / 떡뻥,[매일유업] 요미요미 유기농쌀과자 모음전/유아식/이유식,10+2 또야호야 유기농 아기간식 /유아떡뻥쌀과자,일동후디스 쌀과자/떡뻥 웨하스 볼과자 그릭요거볼
7,질마재농장-유기농100% 무첨가 유기농쌀과자,0.045105566218809984,1.0,0.0030553851162674213,0.0967741935483871,[분유이야기] 남양유업 아이꼬야(구 아기꼬야) 사과 딸기 귤,크라운 마이쮸 대용량 딸기복숭아/포도사과맛 328g,남양유업 아이꼬야 동결건조 사과/딸기/귤,[지후쌀과자] 유기농쌀/쌀과자 10+2봉/떡뻥/1만원무배/우체국
8,크라운 마이쮸 대용량 딸기복숭아/포도사과맛 328g,0.049904030710172756,1.0,0.00010017656118909579,0.11290322580645161,질마재농장-유기농100% 무첨가 유기농쌀과자,[지후쌀과자] 유기농쌀/쌀과자 10+2봉/떡뻥/1만원무배/우체국,[분유이야기] 남양유업 아이꼬야(구 아기꼬야) 사과 딸기 귤,남양유업 아이꼬야 동결건조 사과/딸기/귤
9,[지후쌀과자] 유기농쌀/쌀과자 10+2봉/떡뻥/1만원무배/우체국,0.033109404990403074,1.0,0.010869156889016893,0.12903225806451613,크라운 마이쮸 대용량 딸기복숭아/포도사과맛 328g,후디스.요미요미.아이배냇.남양 아기 과자/간식 48종,[분유이야기] 일동후디스 유기농 쌀과자 떡뻥(30g). 곡물바(40g),[일동후디스] 후디스 아기밀냠냠 아기과자/계란볼/웨하스/떡뻥/짜장
10,10+2 또야호야 유기농 아기간식 /유아떡뻥쌀과자,0.018714011516314782,0.9,0.0005760152268373008,0.14516129032258063,일동후디스 쌀과자/떡뻥 웨하스 볼과자 그릭요거볼,[라이스맘] 무료배송10+1증정/100%유기농 아기과자,남양 아이꼬야 치즈볼/동결건조/불가리스/쌀과자,[질마재농장] 유기농100% 무첨가 유기농쌀과자 / 떡뻥
11,[일동후디스] 후디스 아기밀냠냠 아기과자/계란볼/웨하스/떡뻥/짜장,0.022312859884836857,1.0,0.0024668478192814837,0.16129032258064516,후디스.요미요미.아이배냇.남양 아기 과자/간식 48종,[분유이야기] 일동후디스 유기농 쌀과자 떡뻥(30g). 곡물바(40g),10+1찬스 라이스맘 100%유기농 아기과자모음전,후디스 유기농김 2종 택1
12,[라이스맘] 무료배송10+1증정/100%유기농 아기과자,0.03071017274472169,0.9,0.0002379193328241025,0.1774193548387097,일동후디스 쌀과자/떡뻥 웨하스 볼과자 그릭요거볼,10+2 또야호야 유기농 아기간식 /유아떡뻥쌀과자,후디스 아이배냇 요미요미 아기 과자 간식 반찬 100종,[질마재농장] 유기농100% 무첨가 유기농쌀과자 / 떡뻥
13,[코스트코] 웰치스 후르츠 젤리 100봉 2.55kg,0.5585412667946257,0.9,0.00011269863133773277,0.1935483870967742,볼과자,일동후디스 그릭 요거볼 핑거푸드,일동후디스 비타민마을 물고기 친구들 60g,후디스 냠냠 순 과일칩 10개 / 순사과 / 순배 / 순딸기
