,title,price,rating,replyCount,category,item0,item1,item2,item3
0,[맨하탄토이] 손감각 발달 윈켈-클래식 /치발기,0.02248016456068175,1.0,0.0006268609935746748,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기,[베이비캠프] 베이비캠프 미니 롤러코스터
1,[압소바] 티노딸랑이세트(ARA-36622)(갤러리아),0.027901851307669704,0.9,0.0014104372355430183,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,조이매스 3D미노스큐브,[AKMALL2] 바니랜드-체스 아카데미
2,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,0.011313546870408463,0.9,0.00485817270020373,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,더마더 젤라또 트위스트 치아 발육기 윈켈 치발기,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트,조이매스 3D미노스큐브
3,[minijungoo] 메디토이 손목치발기 국민치발기,0.018806935057302382,1.0,0.00047014574518100614,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기
4,[헬로베이비] 곰파스텔 딸랑이 치발기 7종세트/베어5종,0.01998236849838378,0.9,0.07898448519040903,0.0,조이매스 3D미노스큐브,NEW 멜로디 아기체육관/NEW 러닝 테이블,[바니랜드] 바니랜드 꼬마버스타요 삑삑이3종세트/타요삑삑이세트,[아모스] 아모스 내가 만드는 컬러스티커 아모스 글라스데코5(야광색 추가)
5,[톨로] 톨로 회전오뚜기 뽀빠이 삐에로,0.02862180429033206,0.9,0.0023507287259050304,0.0,베이비앤아이 3종/5종/8종 딸랑이세트/치발기,은성 항균 통 딸랑이 8종세트/신생아완구.나팔 치발기,조이매스 3D미노스큐브,[AKMALL2] 바니랜드-체스 아카데미
6,[타이니러브] 타이니러브 스윗아일랜드드림 모빌,0.06876285630326183,1.0,0.0,0.0,아가프라/매직볼/치발기/오볼/딸랑이/아기장난감/공,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[압소바] 티노딸랑이세트(ARA-36622)(갤러리아)
7,[앙쥬] 치발기2종세트 초특가/바나나/국민치발기/딸랑이,0.011460476050543638,1.0,0.0006268609935746748,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기
8,S 토도리브로개구리낚시놀이,0.014399059653247136,1.0,0.0,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,[더블하트] 유아용 입술치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아
9,[앙쥬] 앙쥬 바나나 치발기 (집게+케이스),0.012929767851895388,1.0,0.0006268609935746748,0.0,[앙쥬] 앙쥬 치발기세트/이유/목욕/안전용품 모음,(1+1행사)노리개/공갈젖꼭지/장난감/딸랑이/치발기,은성 항균 파스텔 통딸랑이 8종/ 치발기 나팔 신생아,[더블하트] 유아용 입술치발기
